ID,COORDS_X,COORDS_Y,AGE,ROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,TRPRICE,YEAR,ASKPRICE,AGE2,HOUSESIZE2,LOTSIZE2,LN_DISTCBD,LN_DISTAMEN
4833735,175900,316600,63,8,163,141,4,0,872,1464,2867,0,344012,2013,345000,3969,26569,19881,7.2889276,6.7707896
5282075,174191,319164,56,6,108,193,4,0,2035,2501,1705,0,139321,2016,159000,3136,11664,37249,7.8244457,7.6182513
6938226,178819,317417,62,4,180,220,4,1,1785,2490,1954,0,260000,2020,319000,3844,32400,48400,7.8200378,7.4871736
4833481,179295,316941,56,7,112,229,4,1,2132,3081,1608,0,184917,2015,199950,3136,12544,52441,8.0330095,7.6648159
6635346,179022,319089,53,6,151,347,4,0,2043,2853,1697,0,377231,2019,399000,2809,22801,120409,7.9561262,7.6221747
5784682,175028,318839,61,8,120,195,4,0,1467,1614,2273,0,214340,2016,219000,3721,14400,38025,7.3864708,7.2909746
4301468,179076,316845,54,8,128,263,4,1,1896,2912,1844,0,180197,2013,235000,2916,16384,69169,7.9765954,7.5475016
4242859,178989,315171,42,5,110,130,4,0,1733,3824,2006,0,183872,2014,207500,1764,12100,16900,8.249052,7.4576092
5388003,176301,316327,66,10,158,341,1,1,444,1654,3296,0,419289,2015,435000,4356,24964,116281,7.4109521,6.0958247
4598926,177878,317367,80,6,117,135,1,0,866,1606,2874,0,201510,2012,225000,6400,13689,18225,7.3815017,6.763885
3624628,176582,316215,53,5,157,365,2,1,157,1774,3583,0,320976,2009,339000,2809,24649,133225,7.4809923,5.0562458
7030377,178764,314659,40,5,177,286,4,1,1393,4079,2347,0,437500,2020,449000,1600,31329,81796,8.3136072,7.2392149
6725721,176033,316575,53,7,188,174,4,0,737,1449,3003,0,470906,2019,495000,2809,35344,30276,7.2786288,6.6025877
6894778,179275,320701,69,4,114,860,4,1,2176,3964,1563,0,334191,2019,339000,4761,12996,739600,8.2850084,7.6852436
6066322,175902,316735,63,10,142,372,4,1,896,1337,2844,0,459839,2017,475000,3969,20164,138384,7.1981835,6.7979403
7075483,176173,316569,85,5,166,94,4,0,598,1427,3142,0,410000,2020,425000,7225,27556,8836,7.2633295,6.3935909
6225305,173946,319528,30,5,99,121,4,0,2118,2896,1621,0,179297,2018,180000,900,9801,14641,7.9710855,7.6582274
6899758,177543,322934,50,4,112,344,4,1,843,5087,2897,1,230000,2020,239000,2500,12544,118336,8.5344439,6.7369671
5376663,175789,316708,68,10,135,291,4,1,1000,1407,2739,0,450467,2015,475000,4624,18225,84681,7.2492151,6.9077554
6668585,176900,317628,100,5,137,70,2,0,37,616,3703,0,496223,2019,525000,10000,18769,4900,6.4232469,3.6109178
4233866,174711,317745,59,7,118,367,4,1,1939,1699,1801,0,263083,2012,289500,3481,13924,134689,7.4377952,7.5699277
4821215,177361,322949,53,10,188,344,4,1,665,5063,3074,1,174736,2013,189000,2809,35344,118336,8.5297146,6.4997869
6288721,175885,318182,100,5,124,111,4,0,757,548,2983,0,249456,2018,260000,10000,15376,12321,6.3062754,6.6293631
3558832,175900,316600,62,7,150,219,4,0,872,1464,2867,0,356640,2009,375000,3844,22500,47961,7.2889276,6.7707896
4576037,176610,316406,53,6,140,127,4,0,145,1588,3595,0,330253,2012,335000,2809,19600,16129,7.3702307,4.9767337
4857305,173737,315859,44,5,116,272,4,1,3024,3398,715,0,260666,2014,265000,1936,13456,73984,8.1309423,8.0143356
5658828,176289,319298,95,9,135,155,4,0,299,1323,3441,0,235774,2016,239000,9025,18225,24025,7.1876574,5.7004437
5475682,175028,318839,61,8,130,191,4,0,1467,1614,2273,0,219699,2016,229000,3721,16900,36481,7.3864708,7.2909746
6302898,175967,317798,100,8,218,100,2,0,687,463,3052,0,311820,2018,335000,10000,47524,10000,6.1377273,6.5323343
4251808,173852,317415,55,10,166,238,4,1,2836,2603,904,0,257485,2012,259000,3025,27556,56644,7.8644199,7.95015
3393901,174528,319720,100,4,210,1181,4,0,1531,2552,2208,0,493189,2008,565000,10000,44100,1394761,7.8446326,7.3336763
4978657,177528,315564,52,6,135,179,5,0,382,2668,3358,0,200096,2014,209000,2704,18225,32041,7.8890843,5.9454207
5895270,177482,318463,53,5,210,285,2,0,605,1191,3135,0,216195,2018,239000,2809,44100,81225,7.0825486,6.4052286
6259611,176329,320924,100,5,112,418,4,0,437,2946,3303,1,203982,2018,215000,10000,12544,174724,7.9882035,6.0799332
5938602,173815,317373,54,5,138,240,4,1,2879,2649,861,0,211420,2017,219000,2916,19044,57600,7.8819375,7.9651985
6613822,178105,319276,53,6,123,115,4,0,1108,2148,2631,0,206591,2019,209000,2809,15129,13225,7.6722922,7.0103121
6066740,176321,317526,53,5,230,110,4,0,400,459,3340,0,639546,2017,669000,2809,52900,12100,6.1290503,5.9914646
598570,176049,316395,53,4,125,395,4,1,702,1621,3038,0,362525,2002,374369,2809,15625,156025,7.3907986,6.5539336
6205372,176109,316730,82,5,138,123,4,0,694,1281,3046,0,428753,2018,448000,6724,19044,15129,7.1553965,6.5424719
6982344,178919,317477,62,5,116,183,3,1,1896,2575,1843,0,249000,2020,269000,3844,13456,33489,7.8536048,7.5475016
3009017,178975,317444,64,4,90,142,2,0,1944,2636,1796,0,184935,2007,187500,4096,8100,20164,7.877018,7.5725031
4191829,174491,317217,55,7,110,244,4,1,2245,2049,1495,0,235135,2011,245000,3025,12100,59536,7.6251073,7.7164607
3185061,179046,316729,56,7,105,257,4,1,1843,2932,1897,0,326719,2007,329000,3136,11025,66049,7.9834399,7.5191498
